rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
60	hidden_transition_destination	0x3704f7	650	26	1	1	242:26	145:26	+0x5:26	exact:26	tail@0xaab67:26	prev=426@0x3703e6-0x3704f7+0x0;next=427@0x370508-0x370624-0x11	0x3704f2	0x3704f7	exact positive instruction enters adjacent hidden span; hidden=145->66:+0x11:events=26:obs=sampled_long_or_sparse:26
61	hidden_transition_destination	0x3707a0	650	26	1	1	245:26	316:26	+0x5:26	exact:26	tail@0xab424:26	prev=430@0x370770-0x3707a0+0x0;next=431@0x3707b1-0x3708e4-0x11	0x37079b	0x3707a0	exact positive instruction enters adjacent hidden span; hidden=316->203:+0x11:events=25:obs=sampled_backedge:25
62	decoded_long_branch_source	334	630	42	0	0	334:42	354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4	+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1	decoded_long_branch:42	tail@0xbe55b:42				source_target=0xbdd18;unique_vm_ips=18;top_targets=354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4;top_deltas=+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1;long_branch_events=42;long_branch_variants=18;long_branch_operand_lens=0xb:42;long_branch_operand_shapes=42=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=25=next = table[354], ip += 0x2a5,1=next = table[165], ip += 0x238,1=next = table[165], ip += 0x288,1=next = table[165], ip += 0x2f,1=next = table[165], ip += 0x48d
63	decoded_long_branch_sample	145->354:prefix_32_of_313	625	125	1	1	145:125	354:125	+0x139:125	prefix_32_of_313:125	tail@0x9634f:125	inside=437@0x3716c7-0x371714+0x0	0x37158e	0x3716c7	positive VM IP delta exceeds logged byte window; long_branch_events=125;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[354], ip += 0x139
64	decoded_long_branch_sample	266->354:-0x2e8	625	125	1	1	266:125	354:125	-0x2e8:125	backedge_sample:125	tail@0xafa1d:125	inside=435@0x370f18-0x371477+0x514	0x371714	0x37142c	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=125;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x2e8
65	hidden_transition_destination	0x370624	625	25	1	1	184:25	95:25	+0x4:25	exact:25	tail@0x9d961:25	prev=427@0x370508-0x370624+0x0;next=428@0x370632-0x370743-0xe	0x370620	0x370624	exact positive instruction enters adjacent hidden span; hidden=95->165:+0xe:events=32:obs=exact:32
66	hidden_transition_destination	0x370743	625	25	1	1	245:25	145:25	+0x5:25	exact:25	tail@0xab424:25	prev=428@0x370632-0x370743+0x0;next=429@0x370756-0x370768-0x13	0x37073e	0x370743	exact positive instruction enters adjacent hidden span; hidden=145->196:+0x13:events=25:obs=sampled_long_or_sparse:25
67	hidden_transition_destination	0x3708e4	625	25	1	1	161:25	264:25	+0x4:25	exact:25	tail@0x99b3a:25	prev=431@0x3707b1-0x3708e4+0x0;next=432@0x3708f2-0x370a81-0xe	0x3708e0	0x3708e4	exact positive instruction enters adjacent hidden span; hidden=264->165:+0xe:events=31:obs=exact:31
68	hidden_transition_destination	0x370a81	625	25	1	1	52:25	246:25	+0x5:25	exact:25	tail@0x8371b:25	prev=432@0x3708f2-0x370a81+0x0;next=433@0x370a91-0x370cb0-0x10	0x370a7c	0x370a81	exact positive instruction enters adjacent hidden span; hidden=246->347:+0x10:events=25:obs=sampled_long_or_sparse:25
69	hidden_transition_destination	0x370cb0	625	25	1	1	20:25	356:25	+0x4:25	exact:25	tail@0x7ca96:25	prev=433@0x370a91-0x370cb0+0x0;next=434@0x370cbe-0x370f0a-0xe	0x370cac	0x370cb0	exact positive instruction enters adjacent hidden span; hidden=356->171:+0xe:events=33:obs=exact:33
