source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
264	0xaf4cf	0xcdac7	280	0													169:186,310:94	+0xa:280	exact:280
75	0x873fc	0x87c25	276	255	r14	255	100.0				r15	255	100.0	rbp	255	100.0	171:256,165:16,354:4	-0x6d:255,+0x60:9,+0x30:2,+0x288:2,+0x28b:2,+0x23e:1,+0x2aa5:1,+0x211:1	backedge_sample:255,prefix_32_of_96:9,prefix_32_of_48:2,prefix_32_of_648:2,prefix_32_of_651:2,prefix_32_of_574:1,prefix_32_of_10917:1,prefix_32_of_529:1
282	0xb3128	0xb360f	269	1	r8	1	100.0	rsi	1	100.0	r14	1	100.0	rbp	1	100.0	280:64,220:27,90:21,199:13,66:12,140:12,281:11,345:11	+0x5:269	exact:269
107	0x8eef4	0x8f248	256	102	r15	102	100.0	rax	102	100.0	r8	102	100.0	rbp	102	100.0	160:256	+0x5:256	exact:256
222	0xa5f3c	0xa646d	254	14	r13	14	100.0	rsi	14	100.0	r14	14	100.0	rbp	14	100.0	220:67,301:20,268:14,49:13,28:12,43:11,297:10,269:10	+0x5:254	exact:254
308	0xb837c	0xb84a4	246	1	r10	1	100.0	rdi	1	100.0				rbp	1	100.0	171:226,354:20	-0x51a4:91,-0x9de:64,-0x40:34,-0x17ed:25,-0x584:12,-0x2ce:8,-0x55d:4,-0x4e6:2	backedge_sample:242,prefix_32_of_84:1,prefix_32_of_85:1,prefix_32_of_8897:1,exact:1
190	0x9eacb	0x9ede7	224	0													352:134,257:86,144:4	+0x5:224	exact:224
217	0xa4b11	0xa4df4	215	1	r14	1	100.0	r15	1	100.0	rdx	1	100.0	rbp	1	100.0	198:70,352:66,144:66,108:7,173:3,160:1,256:1,257:1	+0x5:215	exact:215
266	0xaf8af	0xafa1d	200	1	rdx	1	100.0							rbp	1	100.0	354:135,171:57,165:8	-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4,-0x557:3,+0x54:1,-0x566:1	backedge_sample:198,prefix_32_of_84:1,prefix_32_of_102:1
242	0xaa87d	0xaab67	181	5	r8	5	100.0	rsi	5	100.0	rcx	5	100.0	rbp	5	100.0	75:92,246:38,145:33,199:9,334:4,210:2,316:2,114:1	+0x5:181	exact:181
