section	offset	end	size	realsz	name	safe_name	kind	nbbs	ninstrs	edges	indegree	outdegree	nlocals	nargs	stackframe	noreturn	signature
.text	0x507b70	0x507b97	39	39	method.std::collate_wchar_t_.virtual_32	native_stub_00507b70_method_std_collate_wchar_t_virtual_32	native_discovered	5	12	5	0	0	0	2	0	0	method.std::collate_wchar_t_.virtual_32 (uint32_t arg2, int64_t arg3);
.text	0x507ba0	0x507bb3	19	19	method.std::money_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507ba0_method_std_money_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_tr	native_discovered	1	4	1	0	0	0	1	0	0	method.std::money_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507bc0	0x507bd3	19	19	method.std::money_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507bc0_method_std_money_put_wchar_t_std_ostreambuf_iterator_wchar_t_std_char_tr	native_discovered	1	4	1	0	0	0	1	0	0	method.std::money_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507be0	0x507c2e	78	78	fcn.00507be0	native_stub_00507be0_fcn_00507be0	r2_discovered	8	22	11	1	3	0	1	8	0	fcn.00507be0 (uint32_t arg1);
.text	0x507c30	0x507c43	19	19	method.std::num_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507c30_method_std_num_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_trai	native_discovered	1	4	1	0	0	0	1	0	0	method.std::num_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507c50	0x507c63	19	19	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507c50_method_std_num_put_wchar_t_std_ostreambuf_iterator_wchar_t_std_char_trai	native_discovered	1	4	1	0	0	0	1	0	0	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507c70	0x507c83	19	19	fcn.00507c70	native_stub_00507c70_fcn_00507c70	r2_discovered	1	4	0	1	0	0	1	0	0	fcn.00507c70 (int64_t arg1);
.text	0x507c90	0x507ca3	19	19	method.std::time_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507c90_method_std_time_put_wchar_t_std_ostreambuf_iterator_wchar_t_std_char_tra	native_discovered	1	4	1	0	0	0	1	0	0	method.std::time_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507cb0	0x507cc3	19	19	method.std::time_put_byname_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507cb0_method_std_time_put_byname_wchar_t_std_ostreambuf_iterator_wchar_t_std_c	native_discovered	1	4	1	0	0	0	1	0	0	method.std::time_put_byname_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
.text	0x507cd0	0x507ce3	19	19	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0	native_stub_00507cd0_method_std_time_get_wchar_t_std_istreambuf_iterator_wchar_t_std_char_tra	native_discovered	1	4	1	0	0	0	1	0	0	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_0 (int64_t arg1);
