section	start	stop	bytes	symbol	normalized_symbol	categories	classification_confidence	classification_reason	provenance
.plt	0x206e0	0x206f0	16	strcmp@plt	strcmp	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x206f0	0x20700	16	send@plt	send	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x20700	0x20710	16	ZydisGetAccessedFlags@plt	ZydisGetAccessedFlags	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x20710	0x20720	16	ZydisRegisterGetWidth@plt	ZydisRegisterGetWidth	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x20720	0x20730	16	sem_post@plt	sem_post	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20730	0x20740	16	__dynamic_cast@plt	__dynamic_cast	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20740	0x20750	16	__strtod_l@plt	__strtod_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20750	0x20760	16	epoll_wait@plt	epoll_wait	network	high	network libc/syscall import	native_linkage_stub_inventory
.plt	0x20760	0x20770	16	getwc@plt	getwc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20770	0x20780	16	nanosleep@plt	nanosleep	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20780	0x20790	16	glob@plt	glob	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20790	0x207a0	16	getuid@plt	getuid	host_environment_inventory	high	host/process environment import	native_linkage_stub_inventory
.plt	0x207a0	0x207b0	16	pthread_cond_wait@plt	pthread_cond_wait	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x207b0	0x207c0	16	ZydisGetInstructionDefinition@plt	ZydisGetInstructionDefinition	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x207c0	0x207d0	16	dladdr@plt	dladdr	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x207d0	0x207e0	16	pthread_once@plt	pthread_once	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x207e0	0x207f0	16	memcmp@plt	memcmp	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x207f0	0x20800	16	blake3_hasher_finalize@plt	blake3_hasher_finalize	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20800	0x20810	16	calloc@plt	calloc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20810	0x20820	16	globfree@plt	globfree	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20820	0x20830	16	munmap@plt	munmap	memory_protection	high	memory mapping/protection import	native_linkage_stub_inventory
.plt	0x20830	0x20840	16	feof@plt	feof	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20840	0x20850	16	blake3_hasher_reset@plt	blake3_hasher_reset	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20850	0x20860	16	ZydisDecoderDecodeOperands@plt	ZydisDecoderDecodeOperands	disassembly_metadata	high	Zydis disassembly symbol	native_linkage_stub_inventory
.plt	0x20860	0x20870	16	writev@plt	writev	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20870	0x20880	16	fclose@plt	fclose	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x20880	0x20890	16	blake3_hash_many_avx2@plt	blake3_hash_many_avx2	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20890	0x208a0	16	isspace@plt	isspace	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x208a0	0x208b0	16	__cxa_throw_bad_array_new_length@plt	__cxa_throw_bad_array_new_length	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x208b0	0x208c0	16	difftime@plt	difftime	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x208c0	0x208d0	16	lseek64@plt	lseek64	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x208d0	0x208e0	16	blake3_compress_in_place_avx512@plt	blake3_compress_in_place_avx512	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x208e0	0x208f0	16	dlsym@plt	dlsym	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x208f0	0x20900	16	_Unwind_GetTextRelBase@plt	_Unwind_GetTextRelBase	cxx_runtime;locale_i18n	high	C++ ABI/exception import; locale/i18n import	native_linkage_stub_inventory
.plt	0x20900	0x20910	16	__freelocale@plt	__freelocale	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x20910	0x20920	16	bind_textdomain_codeset@plt	bind_textdomain_codeset	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20920	0x20930	16	wcsnrtombs@plt	wcsnrtombs	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20930	0x20940	16	closedir@plt	closedir	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x20940	0x20950	16	__sprintf_chk@plt	__sprintf_chk	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20950	0x20960	16	btowc@plt	btowc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20960	0x20970	16	sched_get_priority_max@plt	sched_get_priority_max	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20970	0x20980	16	ftruncate@plt	ftruncate	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20980	0x20990	16	getppid@plt	getppid	host_environment_inventory	high	host/process environment import	native_linkage_stub_inventory
.plt	0x20990	0x209a0	16	fopen64@plt	fopen64	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x209a0	0x209b0	16	pthread_setschedparam@plt	pthread_setschedparam	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x209b0	0x209c0	16	blake3_compress_in_place_sse41@plt	blake3_compress_in_place_sse41	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x209c0	0x209d0	16	wcscmp@plt	wcscmp	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x209d0	0x209e0	16	fwrite@plt	fwrite	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x209e0	0x209f0	16	pthread_mutex_lock@plt	pthread_mutex_lock	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x209f0	0x20a00	16	_ZGTtnam@plt	_ZGTtnam	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20a00	0x20a10	16	realloc@plt	realloc	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x20a10	0x20a20	16	setlocale@plt	setlocale	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x20a20	0x20a30	16	rand@plt	rand	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x20a30	0x20a40	16	pthread_mutexattr_init@plt	pthread_mutexattr_init	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20a40	0x20a50	16	pthread_mutex_destroy@plt	pthread_mutex_destroy	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x20a50	0x20a60	16	__cxa_rethrow@plt	__cxa_rethrow	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x20a60	0x20a70	16	blake3_hash_many_sse41@plt	blake3_hash_many_sse41	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
