source_entry	opcode_name	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	smt2	solver_output_excerpt
301	vmop_301_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	54	63	((u16_3 - state0) & (0xd3f01421u + flags0)) ^ (state0 & flags0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_301.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
302	vmop_302_minus0x40_sampled_backedge_slot_unknown	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_302.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
305	vmop_305_plus0x4_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	23	25	(u16_0 + state0) & state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_305.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
308	vmop_308_plus0x20_exact_slot_unknown	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_308.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
311	vmop_311_plus0xa_state_preserve_slot_multi_path	compiler_expression_recovered	proved_equivalent	201	61	((0x35e8abc1u - u16_3) | (0xb9b0e04u - flags0)) | 0x3ff7fffbu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_311.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
313	vmop_313_plus0x5_state_add_const_slot_multi_path	translator_or_proof_error	not_proved	1206	0			unknown operand 'rdi'
314	vmop_314_plus0xa_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	36	41	(state0 - u32_0) ^ (state0 + 0x477d7abbu)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_314.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
315	vmop_315_plus0x4_state_mixed_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	88	73	(((state0 & 0x7562ddb5u) ^ flags0) ^ 0x2485a98du) | (u16_2 ^ 0x42c7f071u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_315.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
316	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_316.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
317	vmop_317_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	1078	313	(((((0xd528cc0fu + flags0) & 0xfff9ff9du) ^ ((0xd528cc0fu + u16_2) + flags0)) ^ ((0xd6c343c9u + flags0) & 0x60062u)) | ((((0xd528cc0fu + state0) - flags0) ^ 0x60062u) | ((0xd528cc0fu + flags0) ^ 0x5258264au))) | ((((((u16_0 + 0x2b733f1u) - state0) - flags0) & 0x12461866u) ^ (0xd528cc0fu + flags0)) ^ 0x50183e0eu)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_317.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
319	vmop_319_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	586	159	(((flags0 | ((0x4fa9822eu + state0) & 0x27c134adu)) | ((state0 - 0x58e4c1fu) & 0x27c134adu)) | (((0x4fa9822eu + state0) & 0x27c134adu) ^ flags0)) | 0x5ffedbfbu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_319.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
320	vmop_320_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	37	20	state0 & 0x81ebc77cu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_320.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
321	vmop_321_plus0xd_state_preserve_slot_multi_path	compiler_expression_recovered	proved_equivalent	122	99	(((((u16_2 + u16_0) - state0) & 0x9733ef30u) ^ flags0) | ((state0 + u16_0) ^ flags0)) | 0x12da4cf4u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_321.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
322	vmop_322_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	122	99	(((((u16_2 + u16_0) - state0) & 0x9733ef30u) ^ flags0) | ((state0 + u16_0) ^ flags0)) | 0x12da4cf4u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_322.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
