rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
95	decoded_long_branch_sample	302->171:-0x2ce	25	5	2	2	302:5	171:5	-0x2ce:5	backedge_sample:5	tail@0xb7699:5	inside=75@0x33f278-0x34556c+0x3e5f	0x3433a5,0x362f69	0x3430d7,0x362c9b	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=5;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x2ce
96	decoded_long_branch_sample	308->354:-0x2ce	25	5	2	2	308:5	354:5	-0x2ce:5	backedge_sample:5	tail@0xb84a4:5	inside=69@0x334a3d-0x3369f2+0xb48	0x335853,0x3682d5	0x335585,0x368007	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=5;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x2ce
97	decoded_long_branch_sample	117->354:-0x767	20	4	1	1	117:4	354:4	-0x767:4	backedge_sample:4	tail@0x90c21:4	inside=73@0x33b647-0x33d2d9+0x802	0x33c5b0	0x33be49	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=4;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x767
98	decoded_long_branch_sample	145->165:prefix_32_of_3052	20	4	1	1	145:4	165:4	+0xbec:4	prefix_32_of_3052:4	tail@0x9634f:4	inside=48@0x26db07-0x26f097+0x0	0x26cf1b	0x26db07	positive VM IP delta exceeds logged byte window; long_branch_events=4;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[165], ip += 0xbec
99	decoded_long_branch_sample	266->165:-0x55d	20	4	1	1	266:4	165:4	-0x55d:4	backedge_sample:4	tail@0xafa1d:4	inside=75@0x33f278-0x34556c+0x1ed7	0x3416ac	0x34114f	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=4;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x55d
100	decoded_long_branch_sample	266->354:-0x78e	20	4	1	1	266:4	354:4	-0x78e:4	backedge_sample:4	tail@0xafa1d:4	inside=71@0x337e84-0x339faf+0x7fe	0x338e10	0x338682	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=4;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x78e
101	decoded_long_branch_sample	302->354:-0x24c	20	4	1	1	302:4	354:4	-0x24c:4	backedge_sample:4	tail@0xb7699:4	inside=0@0xd0ac0-0xd1002+0x19f	0xd0eab	0xd0c5f	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=4;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x24c
102	decoded_long_branch_sample	308->171:-0x55d	20	4	1	1	308:4	171:4	-0x55d:4	backedge_sample:4	tail@0xb84a4:4	inside=75@0x33f278-0x34556c+0x3789	0x342f5e	0x342a01	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=4;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x55d
103	decoded_long_branch_sample	117->165:-0xbc0	15	3	1	1	117:3	165:3	-0xbc0:3	backedge_sample:3	tail@0x90c21:3	inside=80@0x3674c3-0x36a0bc+0x1a9d	0x369b20	0x368f60	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0xbc0
104	decoded_long_branch_sample	117->171:-0x2ce	15	3	1	1	117:3	171:3	-0x2ce:3	backedge_sample:3	tail@0x90c21:3	inside=64@0x31aa27-0x31e23f+0x1ef1	0x31cbe6	0x31c918	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=3;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x2ce
