source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
396	0x36b8a7-0x36bb16			out_of_recovered	10	1	160:10	308:10	+0x2:10	exact:10
312	0x33e15d-0x33e2da			out_of_recovered	9	1	161:9	311:9	+0x4:9	exact:9
313	0x33e2e8-0x33e532			out_of_recovered	9	1	161:9	264:9	+0x4:9	exact:9
314	0x33e540-0x33e707			out_of_recovered	9	1	123:9	69:9	+0x4:9	exact:9
315	0x33e718-0x33e829			out_of_recovered	9	1	245:9	75:9	+0x5:9	exact:9
316	0x33e889-0x33e8d6			out_of_recovered	9	1	144:9	117:9	+0x2:9	exact:9
371	0x367c1f-0x367e8e			out_of_recovered	9	1	108:9	302:9	+0x2:9	exact:9
223	0x31aed4-0x31b31b			out_of_recovered	8	1	52:8	316:8	+0x5:8	exact:8
229	0x31be84-0x31c005			out_of_recovered	8	1	52:8	75:8	+0x5:8	exact:8
224	0x31b331-0x31b343			out_of_recovered	7	1	257:7	308:7	+0x2:7	exact:7
230	0x31c01b-0x31c02d			out_of_recovered	7	1	108:7	266:7	+0x2:7	exact:7
318	0x33f278-0x33f6e0			out_of_recovered	6	1	52:6	334:6	+0x5:6	exact:6
417	0x36ef46-0x36f427			out_of_recovered	6	1	52:6	246:6	+0x5:6	exact:6
0	0xd0ac0-0xd0c75			out_of_recovered	5	1	122:5	246:5	+0x5:5	exact:5
261	0x331975-0x331c7a			out_of_recovered	5	1	158:5	78:5	+0x4:5	exact:5
262	0x331c8b-0x331e7d			out_of_recovered	5	1	52:5	334:5	+0x5:5	exact:5
288	0x337e84-0x3386cd			out_of_recovered	5	1	52:5	145:5	+0x5:5	exact:5
304	0x33b647-0x33be94			out_of_recovered	5	1	122:5	246:5	+0x5:5	exact:5
319	0x33f6f6-0x33f708			out_of_recovered	5	1	173:5	117:5	+0x2:5	exact:5
330	0x340f4b-0x34142c			out_of_recovered	5	1	52:5	334:5	+0x5:5	exact:5
340	0x3427fd-0x342cde			out_of_recovered	5	1	52:5	145:5	+0x5:5	exact:5
418	0x36f438-0x36f6a7			out_of_recovered	5	1	144:5	117:5	+0x2:5	exact:5
1	0xd0c86-0xd0d43			out_of_recovered	4	1	174:4	264:4	+0x4:4	exact:4
