rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
3001	0x498d40	0x499a60	3360	0	3360	0	r2_discovered	fcn.00498d40	86	725	52	tier2_large_native_gap	targeted_retdec_with_timeout	0x498d40-0x499a60
3002	0x4d7f50	0x4d8c59	3337	0	3337	0	symbol_named	sym.blake3_hasher_finalize_seek	62	677	8	tier2_large_native_gap	targeted_retdec_with_timeout	0x4d7f50-0x4d8c59
3003	0x4ed250	0x4edf1f	3279	0	3279	0	symbol_named	sym.ZydisDecoderDecodeOperands	208	771	20	tier2_large_native_gap	targeted_retdec_with_timeout	0x4ed250-0x4edf1f
3004	0x47e0a	0x48a9d	3219	0	3219	0	r2_discovered	fcn.00047e0a	3	731	247	tier2_large_native_gap	targeted_retdec_with_timeout	0x47e0a-0x48a9d
3005	0x5df38	0x5eba0	3176	0	3176	0	r2_discovered	fcn.0005df38	61	712	96	tier2_large_native_gap	targeted_retdec_with_timeout	0x5df38-0x5eba0
3006	0x4d9eb0	0x4daa69	3001	0	3001	0	r2_discovered	fcn.004d9eb0	1	915	0	tier2_large_native_gap	targeted_retdec_with_timeout	0x4d9eb0-0x4daa69
3007	0x4d9310	0x4d9ea1	2961	0	2961	0	r2_discovered	fcn.004d9310	1	899	0	tier2_large_native_gap	targeted_retdec_with_timeout	0x4d9310-0x4d9ea1
3008	0x4ab520	0x4ac09f	2943	0	2943	0	r2_discovered	fcn.004ab520	143	620	48	tier2_large_native_gap	targeted_retdec_with_timeout	0x4ab520-0x4ac09f
3009	0x4a0710	0x4a1241	2865	0	2865	0	r2_discovered	fcn.004a0710	77	604	68	tier2_large_native_gap	targeted_retdec_with_timeout	0x4a0710-0x4a1241
3010	0x4d4f10	0x4d5a23	2835	0	2835	0	r2_discovered	fcn.004d4f10	63	610	9	tier2_large_native_gap	targeted_retdec_with_timeout	0x4d4f10-0x4d5a23
3011	0x495700	0x49620b	2827	0	2827	0	r2_discovered	fcn.00495700	76	601	45	tier2_large_native_gap	targeted_retdec_with_timeout	0x495700-0x49620b
