program	start_vm_ip	end_vm_ip	source_block	row_kind	source_entry	opcode_name	bytes	state_kind	dispatch_slot_kind	target_entry	target	delta	semantic_ir
000	0xd0b9c	0xd0ba0	0@0xd0ac0-0xd144b+0xdc	exact_instruction	340	vmop_340_plus0x4_state_add_const_slot_multi_path	3a017900	state_add_const	slot_multi_path	297	297@0xb64d7:1	+0x4	next = 297@0xb64d7:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0ba0	0xd0ba3	0@0xd0ac0-0xd144b+0xe0	exact_instruction	297	vmop_297_plus0x3_state_add_const_slot_multi_path	96c5a2	state_add_const	slot_multi_path	287	287@0xb45d2:1	+0x3	next = 287@0xb45d2:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0ba3	0xd0ba7	0@0xd0ac0-0xd144b+0xe3	exact_instruction	287	vmop_287_plus0x4_state_add_const_slot_multi_path	6a24e801	state_add_const	slot_multi_path	347	347@0xc088d:1	+0x4	next = 347@0xc088d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0ba7	0xd0bab	0@0xd0ac0-0xd144b+0xe7	exact_instruction	347	vmop_347_plus0x4_state_add_const_slot_multi_path	c68db603	state_add_const	slot_multi_path	199	199@0xa0631:1	+0x4	next = 199@0xa0631:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bab	0xd0bae	0@0xd0ac0-0xd144b+0xeb	exact_instruction	199	vmop_199_plus0x3_state_add_const_slot_multi_path	038376	state_add_const	slot_multi_path	43	43@0x8173d:1	+0x3	next = 43@0x8173d:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
000	0xd0bae	0xd0bb2	0@0xd0ac0-0xd144b+0xee	exact_instruction	43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	cbbb7fc6	state_add_const	slot_mba_stateful	315	315@0xb9451:1	+0x4	next = 315@0xb9451:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
000	0xd0bb2	0xd0bb6	0@0xd0ac0-0xd144b+0xf2	exact_instruction	315	vmop_315_plus0x4_state_mixed_slot_mba_stateful	e80149f5	state_mixed	slot_mba_stateful	167	167@0x9a8d2:1	+0x4	next = 167@0x9a8d2:1, ip += +0x4; dispatch_model=static_100; state=state_mixed
000	0xd0bb6	0xd0bbc	0@0xd0ac0-0xd144b+0xf6	exact_instruction	167	vmop_167_plus0x6_state_add_const_slot_mba_stateful	e8013d017303	state_add_const	slot_mba_stateful	283	283@0xb3612:1	+0x6	next = 283@0xb3612:1, ip += +0x6; dispatch_model=static_100; state=state_add_const
000	0xd0bbc	0xd0bc1	0@0xd0ac0-0xd144b+0xfc	exact_instruction	283	vmop_283_plus0x5_state_preserve_slot_mba_stateful	10e801945b	state_preserve	slot_mba_stateful	28	28@0x7e390:1	+0x5	next = 28@0x7e390:1, ip += +0x5; dispatch_model=static_100; state=state_preserve
000	0xd0bc1	0xd0bc4	0@0xd0ac0-0xd144b+0x101	exact_instruction	28	vmop_028_plus0x3_state_add_const_slot_u16_0	c803f3	state_add_const	slot_u16_0	121	121@0x91379:1	+0x3	next = 121@0x91379:1, ip += +0x3; dispatch_model=static_100; state=state_add_const
