start_vm_ip	source_entry	source_target	delta	bytes	byte_status	count	top_targets	top_site	state_class	state_events	top_state_add	top_flag_add	top_byte_add	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	state_static_pct	state_static_mismatches	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	dispatch_formula	dispatch_formula_class	dispatch_formula_pct	dispatch_affine_status	dispatch_affine_pct	dispatch_affine_terms	dispatch_affine_cv_status	dispatch_affine_cv_pct
0x22ff67	258	0xadf2c	+0x4	afabd64f	exact	256	237@0xa8e1f:256	0xae32f	state_add_const	256	+0x4803d328:256	-0x4c77a456:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	r10	rcx			9696	post&0x1fff	state_expr	7.1	inconsistent	0.0	0	no_train_fit	0.0
0x22ff6b	237	0xa8e1f	+0x5	00666d3d01	exact	256	352@0xc1ec4:256	0xa94a3	state_add_const	256	-0x76428ed4:256	+0x39fdaa53:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rdx	live_slot	r13	r10			706	constant:0xb00	constant_target	49.0	inconsistent	0.0	0	no_train_fit	0.0
0x22ff70	352	0xc1ec4	+0x2	16db	exact	256	292@0xb540f:256	0xc21c0	state_mixed	269	-0x7c183b70:256,-0x734f0461:13	-0x7408c5a9:256,-0x6308d5a9:13	+0x0:269	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r10	live_slot	r11	r14			1775	constant:0x810	constant_target	19.7	inconsistent	0.0	0	no_train_fit	0.0
0x22ff72	292	0xb540f	+0x5	62dc7bd0aa	exact	256	185@0x9d964:256	0xb593d	state_add_const	256	-0x55a7395c:256	-0x2af5f415:256	+0x0:256	fit	partial	94.3	219	100.0	0	100.0	0	100.0	0	static_100	100.0	rbx	consumed_slot	r14	r9	0xb590a	0xb58f2	476	constant:0x5c8	constant_target	54.4	fit	100.0	224	partial	94.3
0x22ff77	185	0x9d964	+0x3	8b2862	exact	256	332@0xbd36d:256	0x9dcab	state_add_const	256	-0x1cbdd6dd:256	-0x6d467865:256	+0x28:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r10	live_slot	r15				6172	(post-u16_0)&0x1fff	state_expr	7.2	inconsistent	0.0	0	no_train_fit	0.0
0x22ff7a	332	0xbd36d	+0x4	ad873b07	exact	256	90@0x8b334:256	0xbd8ad	state_add_const	256	+0x5ef456ad:256	+0x2cc4fd7c:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rsi	live_slot	r8	r11			1880	constant:0xad8	constant_target	14.1	inconsistent	0.0	0	no_train_fit	0.0
0x22ff7e	90	0x8b334	+0x4	c7eceeaa	exact	256	49@0x82820:256	0x8b6db	state_add_const	256	-0xf2011dd:256	+0x2c80b327:256	+0x0:256	fit	partial	92.3	385	100.0	0	100.0	0	100.0	0	static_100	100.0	r12	consumed_slot	r15	r12	0x8b6a1	0x8b695	441	constant:0x188	constant_target	58.3	fit	100.0	34	partial	96.6
0x22ff82	49	0x82820	+0x5	0052963d01	exact	256	144@0x95887:256	0x82e73	state_add_const	256	+0x77300a66:256	+0x21cfb2d6:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	r15	r12			1844	constant:0x480	constant_target	25.5	inconsistent	0.0	0	no_train_fit	0.0
0x22ff87	144	0x95887	+0x2	0f99	exact	256	258@0xadf2c:256	0x95b59	state_mixed	259	+0x75fe85ef:256,+0x204503d0:3	-0xba07503:259	+0x0:259	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	r10	rsi			2050	post&0x1fff	state_expr	20.6	inconsistent	0.0	0	no_train_fit	0.0
0x22ff89	258	0xadf2c	+0x4	24d2f189	exact	256	43@0x8173d:256	0xae32f	state_add_const	256	+0x1fbd0100:256	-0x6cf62cd6:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	r10	rcx			9696	post&0x1fff	state_expr	7.1	inconsistent	0.0	0	no_train_fit	0.0
