source_block	source_start_vm_ip	source_terminal_vm_ip	target_block	target_vm_ip	edge_kind	target_coverage_statuses	events	terminal_kind	source_entry	target_entry	delta	semantic_ir
67	0x11ef65	0x11f1b5		0x11f1b9	covered_synthetic_fallthrough	hidden_span_of_12:1	1	exact_instruction	123	5	+0x4	next = 5@0x79675:1, ip += +0x4; dispatch_model=static_100
68	0x11f1c5	0x11f397		0x11f39b	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
69	0x11f3a9	0x11f4ba	70	0x1209d2	decoded_control		1	long_branch_forward	334	354	+0x1518	next = table[354], ip += 0x1518
70	0x1209d2	0x120af0		0x120af4	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
71	0x120b02	0x120d63		0x120d67	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
72	0x120d75	0x120e9e	73	0x1210d6	decoded_control		1	long_branch_forward	334	165	+0x238	next = table[165], ip += 0x238
73	0x1210d6	0x121195		0x121199	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	161	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
74	0x1211a7	0x121431		0x121435	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100
75	0x121443	0x12168c		0x121690	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
76	0x12169e	0x1217c2		0x1217c7	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	125	316	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100
77	0x1217d8	0x121920		0x121924	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	123	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
78	0x121932	0x121a5b	79	0x121a8a	decoded_control		1	long_branch_forward	334	171	+0x2f	next = table[171], ip += 0x2f
79	0x121a8a	0x121aba	80	0x121b31	decoded_control		1	long_branch_forward	145	171	+0x77	next = table[171], ip += 0x77
80	0x121b31	0x121c7f		0x121c83	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	184	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
81	0x121c91	0x121ec2		0x121ec6	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	176	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
82	0x121ed4	0x121ffd	83	0x122074	decoded_control		1	long_branch_forward	334	354	+0x77	next = table[354], ip += 0x77
83	0x122074	0x122192		0x122196	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100
84	0x1221a4	0x1222cd	85	0x122344	decoded_control		1	long_branch_forward	145	171	+0x77	next = table[171], ip += 0x77
85	0x122344	0x122462		0x122466	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	20	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100
86	0x122474	0x122610		0x122615	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	52	75	+0x5	next = 75@0x873fc:1, ip += +0x5; dispatch_model=static_100
87	0x122626	0x1226c6	88	0x122a46	decoded_control		1	long_branch_forward	334	171	+0x380	next = table[171], ip += 0x380
88	0x122a46	0x122c77		0x122c7b	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	184	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
89	0x122c89	0x122e38		0x122e3c	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	174	299	+0x4	next = 299@0xb6bba:1, ip += +0x4; dispatch_model=static_100
90	0x128952	0x128b6e		0x128b72	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	123	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100
91	0x128b80	0x128de3		0x128de7	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	161	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100
