source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
199	0x26e3d4-0x26e63d	199	0x26e3d4-0x26e63d	intra_block	648	162	258:36,18:32,189:32,66:24,340:24,28:24,64:20,268:20	258:36,18:32,189:32,66:24,340:24,28:24,64:20,268:20	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
200	0x26e647-0x26e8b0	200	0x26e647-0x26e8b0	intra_block	648	162	340:36,347:32,18:28,66:28,337:24,28:24,64:24,172:20	340:36,347:32,18:28,66:28,337:24,28:24,64:24,172:20	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
202	0x26ebbd-0x26ee26	202	0x26ebbd-0x26ee26	intra_block	648	162	189:36,337:32,258:32,215:28,43:28,340:28,28:24,268:24	189:36,337:32,258:32,215:28,43:28,340:28,28:24,268:24	+0x4:396,+0x3:160,+0x5:36,+0x2:32,+0x6:24	exact:648
328	0x331e8e-0x3320fd	328	0x331e8e-0x3320fd	intra_block	644	161	196:36,64:24,258:24,173:24,185:20,189:20,180:16,168:16	196:36,64:24,258:24,173:24,189:20,180:16,168:16,215:16	+0x4:264,+0x5:140,+0x3:104,+0x2:100,+0x6:36	exact:644
412	0x34143d-0x3416ac	412	0x34143d-0x3416ac	intra_block	644	161	189:24,333:20,198:20,66:20,258:20,28:20,91:16,340:16	189:24,333:20,198:20,66:20,258:20,28:20,340:16,173:16	+0x4:264,+0x5:140,+0x3:104,+0x2:100,+0x6:36	exact:644
423	0x342cef-0x342f5e	423	0x342cef-0x342f5e	intra_block	644	161	144:36,215:24,340:24,172:24,173:20,64:20,297:20,333:20	144:36,215:24,340:24,173:24,172:24,64:20,297:20,333:20	+0x4:264,+0x5:140,+0x3:104,+0x2:100,+0x6:36	exact:644
327	0x331c8b-0x331e7d	327	0x331c8b-0x331e7d	intra_block	640	128	18:40,347:40,157:25,168:25,28:20,268:20,297:20,340:20	18:40,347:40,157:25,168:25,28:20,268:20,297:20,340:20	+0x4:360,+0x3:130,+0x5:65,+0x2:50,+0x6:35	exact:640
394	0x33e718-0x33e829	394	0x33e718-0x33e829	intra_block	639	71	33:63,347:36,168:36,258:36,28:27,305:27,337:27,18:27	33:63,347:36,168:36,258:36,28:27,305:27,337:27,18:27	+0x4:459,+0x3:153,+0x2:9,+0x6:9,+0x5:9	exact:639
377	0x33b647-0x33be94	377	0x33b647-0x33be94	intra_block	615	543	43:23,18:23,66:19,347:17,189:16,215:15,160:15,144:14	43:23,18:23,66:19,347:17,189:16,215:15,160:15,144:14	+0x4:259,+0x5:111,+0x3:103,+0x2:88,+0x6:54	exact:615
361	0x337e84-0x3386cd	361	0x337e84-0x3386cd	intra_block	614	542	28:21,333:17,297:16,124:16,307:15,180:15,108:15,253:15	28:21,333:17,297:16,124:16,307:15,180:15,108:15,253:15	+0x4:258,+0x5:111,+0x3:103,+0x2:88,+0x6:54	exact:614
