block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
82	0x121a8a	0x121aba	0x30	13	13	11	171:2,18:2,333:1,340:1,239:1,3:1,144:1,273:1	18:2,333:1,340:1,239:1,3:1,144:1,171:1,273:1	+0x4:5,+0x2:3,+0x3:2,+0x5:2,+0x6:1	exact:13
83	0x121b31	0x121c83	0x152	90	90	43	189:6,66:5,174:5,337:5,28:4,123:4,297:3,269:3	189:6,66:5,174:5,337:5,28:4,123:4,297:3,269:3	+0x4:49,+0x3:23,+0x2:7,+0x5:7,+0x6:4	exact:90
84	0x121c91	0x121ec6	0x235	150	150	54	340:11,189:10,307:9,28:7,297:7,18:6,305:5,258:5	340:11,189:10,307:9,28:7,297:7,18:6,305:5,258:5	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	exact:150
85	0x121ed4	0x121ffd	0x129	78	78	36	18:5,43:5,66:4,157:4,340:4,185:4,337:3,333:3	18:5,43:5,66:4,157:4,340:4,185:4,337:3,333:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2	exact:78
86	0x122074	0x122196	0x122	78	78	36	158:6,174:5,28:4,114:4,189:4,199:4,64:4,307:4	158:6,174:5,28:4,114:4,189:4,199:4,64:4,307:4	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
87	0x1221a4	0x1222cd	0x129	78	78	35	258:5,168:5,157:4,305:4,215:4,347:3,297:3,307:3	258:5,168:5,157:4,305:4,215:4,347:3,297:3,307:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2	exact:78
88	0x122344	0x122466	0x122	78	78	39	114:6,66:5,347:4,176:4,340:4,20:4,18:4,258:3	114:6,66:5,347:4,176:4,340:4,20:4,18:4,258:3	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
89	0x122474	0x122615	0x1a1	109	109	48	258:10,185:5,333:5,18:4,33:4,243:4,268:4,157:4	258:10,185:5,333:5,18:4,33:4,243:4,268:4,157:4	+0x4:65,+0x3:23,+0x5:10,+0x2:7,+0x6:4	exact:109
90	0x122626	0x1226c6	0xa0	41	41	30	333:4,144:3,347:3,3:2,124:2,28:2,192:2,322:1	333:4,144:3,347:3,3:2,124:2,28:2,192:2,183:1	+0x4:16,+0x5:9,+0x3:7,+0x2:6,+0x6:3	exact:41
91	0x122a46	0x122aaa	0x64	26	26	22	43:2,108:2,200:2,352:2,171:1,254:1,183:1,18:1	43:2,108:2,200:2,352:2,254:1,183:1,18:1,114:1	+0x4:9,+0x5:6,+0x2:5,+0x3:4,+0x6:2	exact:26
92	0x122aca	0x122c7b	0x1b1	115	115	55	28:7,340:6,258:6,18:5,64:4,199:4,185:4,297:4	28:7,340:6,258:6,18:5,64:4,199:4,185:4,297:4	+0x4:60,+0x3:27,+0x5:12,+0x2:11,+0x6:5	exact:115
93	0x122c89	0x122e3c	0x1b3	116	116	40	114:8,28:7,189:6,64:6,18:5,340:5,307:5,176:5	114:8,28:7,189:6,64:6,18:5,340:5,307:5,176:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
94	0x128952	0x128b72	0x220	145	145	52	185:9,340:8,64:7,347:7,66:7,258:6,307:6,161:6	185:9,340:8,64:7,347:7,66:7,258:6,307:6,161:6	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:145
95	0x128b80	0x128de7	0x267	163	163	59	189:9,28:8,347:7,66:7,340:7,185:6,333:5,243:5	189:9,28:8,347:7,66:7,340:7,185:6,333:5,243:5	+0x4:101,+0x3:40,+0x5:9,+0x2:8,+0x6:5	exact:163
96	0x128df5	0x12906f	0x27a	169	169	60	307:9,18:8,340:8,114:7,215:7,64:6,347:6,199:5	307:9,18:8,340:8,114:7,215:7,64:6,347:6,199:5	+0x4:106,+0x3:41,+0x2:9,+0x5:9,+0x6:4	exact:169
97	0x1705a9	0x170856	0x2ad	182	182	68	347:9,66:8,18:8,307:7,337:6,315:6,268:6,114:6	347:9,66:8,18:8,307:7,337:6,315:6,268:6,114:6	+0x4:111,+0x3:43,+0x5:12,+0x2:11,+0x6:5	exact:182
98	0x170864	0x170b41	0x2dd	194	194	67	28:10,337:9,340:8,114:7,199:7,189:6,333:6,64:6	28:10,337:9,340:8,114:7,199:7,189:6,333:6,64:6	+0x4:115,+0x3:45,+0x5:14,+0x2:13,+0x6:7	exact:194
99	0x170b4f	0x170db1	0x262	162	162	58	199:9,347:9,258:7,340:7,18:6,174:6,307:5,64:5	199:9,347:9,258:7,340:7,18:6,174:6,307:5,64:5	+0x4:101,+0x3:40,+0x2:8,+0x5:8,+0x6:5	exact:162
100	0x170dbf	0x170fdb	0x21c	144	144	51	185:10,347:9,64:9,337:7,158:7,297:6,189:6,157:5	185:10,347:9,64:9,337:7,158:7,297:6,189:6,157:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
101	0x170fe9	0x171205	0x21c	144	144	52	64:9,337:9,18:7,157:7,114:6,347:5,185:5,307:5	64:9,337:9,18:7,157:7,114:6,347:5,185:5,307:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
102	0x171213	0x1714bc	0x2a9	181	181	62	337:9,28:8,340:7,347:7,199:7,66:6,18:6,258:6	337:9,28:8,340:7,347:7,199:7,66:6,18:6,258:6	+0x4:110,+0x3:43,+0x5:12,+0x2:11,+0x6:5	exact:181
103	0x1714ca	0x1717a7	0x2dd	194	194	64	189:11,307:9,64:8,18:8,347:7,66:7,43:7,258:7	189:11,307:9,64:8,18:8,347:7,66:7,43:7,258:7	+0x4:115,+0x3:45,+0x5:14,+0x2:13,+0x6:7	exact:194
104	0x1717b5	0x171a17	0x262	162	162	57	199:10,347:8,189:8,64:7,337:7,196:6,66:6,185:6	199:10,347:8,189:8,64:7,337:7,196:6,66:6,185:6	+0x4:101,+0x3:40,+0x2:8,+0x5:8,+0x6:5	exact:162
105	0x171a25	0x171c41	0x21c	144	144	49	337:8,340:7,64:7,158:7,297:6,18:6,28:6,307:5	337:8,340:7,64:7,158:7,297:6,18:6,28:6,307:5	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	exact:144
