source_entry	source_target	events	unique_targets	full_status	full_terms	full_state_terms	full_post_terms	full_byte_terms	tested_folds	train_fit_folds	test_events	matched_events	coverage_pct	cv_status	top_targets	full_bit_formulas
140	0x94e5a	560	40	inconsistent	0	0	0	0	5	0	560	0	0.0	no_train_fit	0x998:67,0x5f0:64,0x5c8:48,0xaa0:29,0xad8:29,0x200:23,0xe0:23,0x5e8:21	
91	0x8b6de	546	30	fit	18	9	9	0	5	5	546	546	100.0	robust	0x810:42,0xaa0:41,0x278:34,0x298:32,0xa88:32,0x18:28,0xad8:27,0x6e0:27	y0=0;y1=0;y2=0;y3=state.3^post.3;y4=state.4^post.4;y5=state.5^post.5;y6=state.6^post.6;y7=state.7^post.7;y8=state.8^post.8;y9=state.9^post.9;y10=state.10^post.10;y11=state.11^post.11;y12=0
351	0xc1d48	542	29	fit	274	143	91	34	5	5	542	316	58.3	partial	0x948:256,0x810:28,0x5e8:28,0x560:26,0xe0:21,0x3c8:17,0x7f0:17,0xa68:16	y0=0;y1=0;y2=0;y3=1^state.2^state.3^state.4^state.5^state.6^state.10^state.12^state.17^state.18^...+21;y4=1^state.0^state.1^state.3^state.5^state.6^state.7^state.8^state.11^state.13^...+19;y5=state.3^state.4^state.7^state.8^state.9^state.10^state.13^state.14^state.15^state.16^...+21;y6=1^state.2^state.3^state.4^state.5^state.8^state.10^state.11^state.12^state.13^...+23;y7=1^state.2^state.3^state.6^state.11^state.13^state.14^state.15^state.16^state.21^...+16;y8=state.1^state.7^state.8^state.9^state.12^state.13^state.17^state.18^state.19^state.20^...+21;y9=1^state.1^state.2^state.9^state.11^state.17^state.18^state.19^state.20^state.23^...+20;y10=1^state.1^state.2^state.6^state.7^state.8^state.10^state.11^state.13^state.15^...+26;y11=state.0^state.3^state.4^state.6^state.7^state.9^state.10^state.16^state.17^state.19^...+17;y12=0
99	0x8c99a	531	8	fit	70	68	0	0	5	5	531	527	99.2	partial	0x630:384,0x568:129,0x800:6,0x500:4,0x360:3,0x480:2,0x808:2,0xb00:1	y0=0;y1=0;y2=0;y3=1^state.0^state.2^state.5^state.7^state.8^state.9^state.12^state.15;y4=state.2^state.5^state.7^state.11^state.12^state.15;y5=state.0^state.2^state.3^state.4^state.5^state.8;y6=state.0^state.3^state.4^state.7^state.8^state.11^state.12^state.15;y7=state.2^state.5^state.7^state.8^state.11^state.12^state.22;y8=state.0^state.3^state.4^state.7^state.8^state.9^state.11^state.15^state.22;y9=state.1^state.7^state.9^state.11^state.12^state.15^state.22;y10=state.0^state.1^state.2^state.3^state.4^state.5^state.7^state.11^state.22;y11=1^state.1^state.2^state.3^state.4^state.7^state.12^state.15^state.22;y12=0
180	0x9cf32	478	30	inconsistent	0	0	0	0	5	0	478	0	0.0	no_train_fit	0x540:44,0x278:38,0x948:30,0x4e8:30,0x868:29,0x658:25,0x90:23,0xa88:22	
292	0xb540f	476	26	fit	224	155	33	32	5	5	476	449	94.3	partial	0x5c8:259,0xaf0:64,0x998:64,0x2e0:8,0x638:7,0x2d0:7,0xac8:6,0xa60:6	y0=0;y1=0;y2=0;y3=state.0^state.2^state.6^state.7^state.11^state.13^state.18^state.20^state.24^state.25^...+13;y4=state.1^state.4^state.6^state.8^state.11^state.12^state.13^state.14^state.15^state.16^...+13;y5=1^state.0^state.1^state.5^state.6^state.7^state.9^state.11^state.12^state.19^...+17;y6=state.1^state.2^state.3^state.4^state.6^state.8^state.11^state.12^state.13^state.14^...+17;y7=1^state.1^state.2^state.3^state.6^state.7^state.8^state.9^state.12^state.13^...+21;y8=1^state.1^state.2^state.3^state.5^state.7^state.8^state.11^state.12^state.13^...+16;y9=state.1^state.5^state.6^state.8^state.12^state.13^state.15^state.16^state.17^state.18^...+12;y10=state.0^state.1^state.2^state.3^state.4^state.6^state.7^state.9^state.11^state.12^...+20;y11=1^state.1^state.5^state.12^state.17^state.24^state.25^state.26^state.28^state.30^...+5;y12=0
208	0xa2361	456	26	fit	200	118	62	16	5	5	456	117	25.7	partial	0x278:75,0xaa0:66,0x560:65,0x948:64,0x188:64,0x998:21,0x158:14,0x390:13	y0=0;y1=0;y2=0;y3=1^post.3;y4=post.4;y5=1^state.0^state.3^state.5^state.7^state.8^state.9^state.10^state.12^state.13^...+24;y6=1^state.0^state.2^state.4^state.6^state.8^state.9^state.10^state.12^state.13^...+26;y7=state.0^state.1^state.2^state.3^state.8^state.9^state.12^state.15^state.18^state.19^...+19;y8=1^state.0^state.4^state.5^state.9^state.10^state.12^state.14^state.17^state.19^...+12;y9=state.1^state.2^state.5^state.6^state.7^state.9^state.10^state.11^state.13^state.16^...+18;y10=state.0^state.4^state.6^state.7^state.10^state.11^state.13^state.14^state.19^state.21^...+13;y11=state.0^state.5^state.6^state.7^state.8^state.11^state.12^state.13^state.18^state.20^...+15;y12=0
181	0x9d13f	453	14	fit	195	138	51	0	5	5	453	426	94.0	partial	0x6b8:256,0x5e8:32,0xa88:27,0xad8:18,0x390:17,0x200:17,0x210:16,0x810:16	y0=0;y1=0;y2=0;y3=state.3^post.3;y4=1^state.3^state.4^state.5^state.7^state.11^state.12^state.16^state.17^state.18^...+10;y5=state.1^state.3^state.4^state.7^state.8^state.16^state.17^state.18^state.21^state.22^...+11;y6=1^state.0^state.5^state.6^state.7^state.8^state.10^state.11^state.14^state.15^...+16;y7=1^state.0^state.3^state.4^state.6^state.7^state.8^state.10^state.11^state.12^...+14;y8=1^state.1^state.2^state.3^state.5^state.6^state.7^state.9^state.10^state.11^...+13;y9=1^state.4^state.5^state.7^state.9^state.11^state.12^state.14^state.15^state.21^...+15;y10=state.0^state.1^state.5^state.7^state.8^state.11^state.12^state.14^state.15^state.17^...+17;y11=1^state.0^state.2^state.3^state.4^state.6^state.8^state.9^state.10^state.11^...+17;y12=0
90	0x8b334	441	34	fit	34	11	15	3	5	5	441	426	96.6	partial	0x188:257,0x820:64,0xa50:16,0xe0:11,0x210:10,0x960:8,0x778:6,0x968:6	y0=0;y1=0;y2=0;y3=post.3;y4=1^post.4;y5=1^post.5;y6=state.0^state.2^state.5^state.8^state.10^state.15^state.20^state.21^state.22^state.23^...+11;y7=post.7;y8=post.8;y9=1^post.9;y10=1^post.10;y11=1^post.11;y12=0
200	0xa0a9e	437	47	fit	9	0	0	9	5	5	437	437	100.0	robust	0x948:39,0x90:30,0x638:28,0x5c8:26,0x158:24,0xa68:22,0x860:16,0x210:15	y0=0;y1=0;y2=0;y3=b4.3;y4=b4.4;y5=b4.5;y6=b4.6;y7=b4.7;y8=b5.0;y9=b5.1;y10=b5.2;y11=b5.3;y12=0
