source_entry	source_target	events	unique_targets	best_class	best_formula	matched_events	coverage_pct	top_targets
82	0x8920e	135	5	constant_target	constant:0xa68	65	48.1	0xa68:65,0x318:64,0x998:2,0x6c8:2,0x540:2
122	0x9170d	121	9	constant_target	constant:0x690	37	30.6	0x690:37,0x9e0:21,0x488:16,0x810:14,0x7b0:12,0x390:12,0x258:6,0xa70:2
48	0x82477	119	30	constant_target	constant:0x2e0	10	8.4	0x2e0:10,0x948:10,0x1a0:10,0x960:8,0xe0:7,0x90:6,0x918:6,0x778:6
356	0xc291a	116	2	constant_target	constant:0x9b0	61	52.6	0x9b0:61,0x548:55
216	0xa4a61	112	2	constant_target	constant:0x9b0	82	73.2	0x9b0:82,0x548:30
148	0x96b6e	105	6	constant_target	constant:0x500	74	70.5	0x500:74,0x568:10,0xb00:8,0x480:6,0x360:4,0x808:3
95	0x8c41c	92	2	constant_target	constant:0x548	61	66.3	0x548:61,0x9b0:31
280	0xb2661	86	5	constant_target	constant:0x808	66	76.7	0x808:66,0x630:7,0x800:5,0x568:4,0x500:4
278	0xb2342	82	2	constant_target	constant:0x548	56	68.3	0x548:56,0x9b0:26
190	0x9eacb	81	3	other_expr	(u16_1&0x1ff)*8	68	84.0	0x808:68,0xb00:9,0x480:4
94	0x8bd69	74	3	constant_target	constant:0x568	68	91.9	0x568:68,0x500:3,0x480:3
250	0xac802	72	3	constant_target	constant:0x158	68	94.4	0x158:68,0x620:3,0x4e8:1
311	0xb86f8	67	2	constant_target	constant:0x548	36	53.7	0x548:36,0x9b0:31
317	0xba1e2	66	26	constant_target	constant:0xe0	8	12.1	0xe0:8,0x90:5,0x298:5,0x8d0:5,0x778:5,0x920:4,0xac8:4,0x3c8:3
102	0x8d71d	64	1	constant_target	constant:0x860	64	100.0	0x860:64
264	0xaf4cf	49	2	constant_target	constant:0x548	31	63.3	0x548:31,0x9b0:18
0	0x78561	48	3	constant_target	constant:0x480	31	64.6	0x480:31,0x808:10,0x360:7
242	0xaa87d	43	7	constant_target	constant:0x258	14	32.6	0x258:14,0x7b0:12,0x638:9,0x488:4,0x690:2,0x390:1,0x9e0:1
62	0x84aa3	36	9	constant_target	constant:0x4e8	16	44.4	0x4e8:16,0x998:13,0x210:1,0x640:1,0x948:1,0xe0:1,0x7e8:1,0xa88:1
151	0x97311	34	5	constant_target	constant:0x630	16	47.1	0x630:16,0x568:6,0x480:4,0x500:4,0xb00:4
336	0xbe8cd	33	6	constant_target	constant:0x800	12	36.4	0x800:12,0x360:6,0x480:5,0xb00:4,0x630:4,0x568:2
326	0xbc06d	31	2	constant_target	constant:0x360	18	58.1	0x360:18,0xb00:13
186	0x9dcae	29	6	other_expr	(u16_2&0x1ff)*8	9	31.0	0x480:9,0x808:9,0x500:4,0x568:3,0x630:2,0x800:2
348	0xc0d7d	28	7	other_expr	(u16_3&0x1ff)*8	7	25.0	0x808:7,0xb00:6,0x500:5,0x568:5,0x630:3,0x360:1,0x480:1
74	0x86d43	25	6	state_expr	(u16_0-post)&0x1fff	25	100.0	0x500:9,0xb00:5,0x360:5,0x630:4,0x480:1,0x568:1
125	0x922c4	19	4	constant_target	constant:0x9e0	15	78.9	0x9e0:15,0x7b0:2,0x258:1,0x488:1
321	0xbb1dd	19	2	constant_target	constant:0x548	16	84.2	0x548:16,0x9b0:3
251	0xacbc5	17	1	constant_target	constant:0x630	17	100.0	0x630:17
290	0xb4c00	17	1	constant_target	constant:0x808	17	100.0	0x808:17
248	0xac110	15	5	constant_target	constant:0x810	9	60.0	0x810:9,0x5e8:2,0x4e8:2,0x3e0:1,0xac8:1
131	0x937d0	14	4	constant_target	constant:0x360	8	57.1	0x360:8,0x500:4,0x480:1,0x568:1
87	0x8a49e	12	3	direct_u16	u16_2	12	100.0	0x808:4,0x360:4,0x800:4
245	0xab141	12	2	constant_target	constant:0x258	11	91.7	0x258:11,0x488:1
