entry	target	tail_site	tail_reg	tail_distance	target_hits	tail_site_hits	observed_target
257	0xadbfd	0xadf29	r14	0x32c	2408	2408	1
258	0xadf2c	0xae32f	r11	0x403	9693	9696	1
259	0xae332	0xae909	rbx	0x5d7	0	0	0
260	0xae90b	0xaeda0	rcx	0x495	1266	1266	1
261	0xaeda2	0xaeeff	r12	0x15d	250	250	1
262	0xaef02	0xaf26a	r13	0x368	0	0	0
263	0xaf26d	0xaf4cc	r13	0x25f	0	0	0
264	0xaf4cf	0xaf8ac	r8	0x3dd	89	0	1
265	0xaf57f	0xaf8ac	r8	0x32d	0	0	0
266	0xaf8af	0xafa1d	rdx	0x16e	70	70	1
267	0xafa1f	0xb0005	rax	0x5e6	4	4	1
268	0xb0007	0xb0458	r15	0x451	3696	3696	1
269	0xb045b	0xb092e	rax	0x4d3	900	900	1
270	0xb0930	0xb0e2d	r12	0x4fd	0	0	0
271	0xb09ab	0xb0e2d	r12	0x482	0	0	0
272	0xb0e30	0xb11c7	r15	0x397	0	0	0
273	0xb11ca	0xb1545	r9	0x37b	1072	1072	1
274	0xb1548	0xb180b	r11	0x2c3	0	0	0
275	0xb180e	0xb1b2a	r15	0x31c	0	0	0
276	0xb1b2d	0xb1fd3	rax	0x4a6	0	0	0
277	0xb1fd5	0xb2340	rdi	0x36b	0	0	0
278	0xb2342	0xb265e	r10	0x31c	100	0	1
279	0xb23f7	0xb265e	r10	0x267	0	0	0
280	0xb2661	0xb2db4	rdx	0x753	86	86	1
281	0xb2db6	0xb3125	r12	0x36f	347	347	1
282	0xb3128	0xb360f	r8	0x4e7	165	165	1
283	0xb3612	0xb3799	rdi	0x187	381	381	1
284	0xb379b	0xb3ff1	r9	0x856	1	1	1
285	0xb3ff4	0xb42df	r12	0x2eb	1	1	1
286	0xb42e2	0xb45cf	r10	0x2ed	0	0	0
287	0xb45d2	0xb497e	rdi	0x3ac	2612	2612	1
288	0xb4980	0xb4bfe	rdx	0x27e	0	0	0
289	0xb4a2b	0xb4bfe	rdx	0x1d3	0	0	0
290	0xb4c00	0xb4eda	r11	0x2da	17	17	1
291	0xb4edd	0xb540d	rdx	0x530	311	311	1
292	0xb540f	0xb593d	rbx	0x52e	476	476	1
293	0xb593f	0xb5d7a	rcx	0x43b	0	0	0
294	0xb5d7c	0xb60dd	r14	0x361	0	0	0
295	0xb60e0	0xb625a	r15	0x17a	190	190	1
296	0xb625d	0xb64d5	rsi	0x278	0	0	0
297	0xb64d7	0xb68ff	r13	0x428	6483	6487	1
298	0xb6902	0xb6bb7	r10	0x2b5	0	0	0
299	0xb6bba	0xb708a	r12	0x4d0	7	2214	1
300	0xb6c36	0xb708a	r12	0x454	2210	2214	1
301	0xb708d	0xb7583	r8	0x4f6	2037	2037	1
302	0xb7586	0xb7699	r12	0x113	11	11	1
303	0xb769c	0xb78ad	r9	0x211	0	0	0
304	0xb7717	0xb78ad	r9	0x196	0	0	0
305	0xb78b0	0xb7bb8	rax	0x308	2662	2662	1
306	0xb7bba	0xb8062	rbx	0x4a8	0	0	0
307	0xb8064	0xb837a	rcx	0x316	7050	7052	1
308	0xb837c	0xb84a4	r10	0x128	123	123	1
309	0xb84a7	0xb86f5	r13	0x24e	0	601	0
310	0xb8556	0xb86f5	r13	0x19f	1611	601	1
311	0xb86f8	0xb8b3f	r8	0x447	89	0	1
312	0xb87aa	0xb8b3f	r8	0x395	0	0	0
313	0xb8b42	0xb8fcc	r14	0x48a	4	4	1
314	0xb8fcf	0xb944f	rcx	0x480	1	1	1
315	0xb9451	0xb9878	r12	0x427	3298	3298	1
316	0xb987b	0xba0cc	rax	0x851	302	285	1
317	0xba1e2	0xba680	r15	0x49e	66	66	1
318	0xba683	0xbada2	r8	0x71f	0	1113	0
319	0xba72f	0xbada2	r8	0x673	1113	1113	1
320	0xbada5	0xbb1db	rsi	0x436	731	731	1
321	0xbb1dd	0xbb6e3	r8	0x506	86	835	1
322	0xbb3c9	0xbb6e3	r8	0x31a	834	835	1
323	0xbb6e6	0xbb8a8	rax	0x1c2	1	5	1
324	0xbb8aa	0xbba0c	r12	0x162	0	0	0
325	0xbba0f	0xbc06b	rdi	0x65c	0	0	0
326	0xbc06d	0xbc31d	r13	0x2b0	31	31	1
327	0xbc320	0xbc464	rcx	0x144	0	0	0
328	0xbc466	0xbc673	r11	0x20d	0	0	0
329	0xbc676	0xbc9b6	rdx	0x340	0	0	0
330	0xbc9b8	0xbcfc5	r15	0x60d	169	169	1
331	0xbcfc8	0xbd36a	r13	0x3a2	5	5	1
332	0xbd36d	0xbd8ad	rsi	0x540	1880	1880	1
333	0xbd8af	0xbdd16	rcx	0x467	3602	3602	1
334	0xbdd18	0xbe55b	rdx	0x843	21	5	1
335	0xbe648	0xbe8ca	r11	0x282	0	0	0
336	0xbe8cd	0xbec0b	r10	0x33e	33	33	1
337	0xbec0e	0xbf126	rbx	0x518	7502	7506	1
338	0xbf128	0xbf2d3	rsi	0x1ab	387	387	1
339	0xbf2d5	0xbf433	rdx	0x15e	0	0	0
340	0xbf435	0xbf886	r15	0x451	7549	7554	1
341	0xbf889	0xbfb96	r13	0x30d	0	41	0
342	0xbfb99	0xbff68	rsi	0x3cf	0	0	0
343	0xbfc0d	0xbff68	rsi	0x35b	0	0	0
344	0xbff6a	0xc02e2	rdi	0x378	0	0	0
345	0xc02e4	0xc0532	r14	0x24e	860	860	1
346	0xc0535	0xc088b	rsi	0x356	1998	1997	1
347	0xc088d	0xc0d7b	rdi	0x4ee	8151	8166	1
348	0xc0d7d	0xc1409	rsi	0x68c	28	28	1
