source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
104	0x31c34b-0x31c596	104	0x31c34b-0x31c596	intra_block	304	152	347:18,199:14,157:14,66:12,203:12,185:10,26:10,18:10	347:18,199:14,157:14,66:12,203:12,185:10,26:10,18:10	+0x4:166,+0x3:60,+0x5:36,+0x2:28,+0x6:14	exact:304
69	0x249964-0x249b99	69	0x249964-0x249b99	intra_block	298	149	347:16,28:14,66:14,114:12,157:12,18:12,243:12,337:12	347:16,28:14,66:14,114:12,157:12,18:12,243:12,337:12	+0x4:188,+0x3:76,+0x5:14,+0x2:12,+0x6:8	exact:298
70	0x249ba7-0x249ddc	70	0x249ba7-0x249ddc	intra_block	298	149	189:16,18:14,66:12,340:12,28:12,258:12,337:12,114:10	189:16,18:14,66:12,340:12,28:12,258:12,337:12,114:10	+0x4:188,+0x3:76,+0x5:14,+0x2:12,+0x6:8	exact:298
71	0x249dea-0x24a01f	71	0x249dea-0x24a01f	intra_block	298	149	114:16,64:14,18:14,66:12,199:12,347:12,185:12,258:10	114:16,64:14,18:14,66:12,199:12,347:12,185:12,258:10	+0x4:188,+0x3:76,+0x5:14,+0x2:12,+0x6:8	exact:298
73	0x24a2a0-0x24a4d5	73	0x24a2a0-0x24a4d5	intra_block	298	149	28:18,189:18,114:14,297:14,307:12,161:12,258:10,43:10	28:18,189:18,114:14,297:14,307:12,161:12,258:10,43:10	+0x4:188,+0x3:76,+0x5:14,+0x2:12,+0x6:8	exact:298
77	0x24ae1d-0x24b052	77	0x24ae1d-0x24b052	intra_block	298	149	297:24,337:18,43:14,340:14,114:12,28:10,185:10,64:10	297:24,337:18,43:14,340:14,114:12,28:10,185:10,64:10	+0x4:188,+0x3:76,+0x5:14,+0x2:12,+0x6:8	exact:298
80	0x24b64e-0x24b883	80	0x24b64e-0x24b883	intra_block	298	149	258:18,18:16,161:16,215:14,297:12,189:12,337:12,340:10	258:18,18:16,161:16,215:14,297:12,189:12,337:12,340:10	+0x4:188,+0x3:76,+0x5:14,+0x2:12,+0x6:8	exact:298
194	0x33fe02-0x340193	194	0x33fe02-0x340193	intra_block	288	238	172:16,189:15,199:12,200:12,354:11,43:10,258:9,18:8	172:16,189:15,199:12,200:12,122:11,43:10,258:9,18:8	+0x4:121,+0x2:49,+0x3:49,+0x5:45,+0x6:24	exact:288
204	0x3416b4-0x341a45	204	0x3416b4-0x341a45	intra_block	288	238	172:17,18:14,189:14,253:13,171:11,28:9,340:7,43:7	172:17,18:14,189:14,253:13,122:11,28:9,340:7,43:7	+0x4:121,+0x2:49,+0x3:49,+0x5:45,+0x6:24	exact:288
68	0x249739-0x249956	68	0x249739-0x249956	intra_block	286	143	258:20,337:16,18:14,66:14,157:12,64:10,346:10,340:10	258:20,337:16,18:14,66:14,157:12,64:10,346:10,340:10	+0x4:184,+0x3:74,+0x5:12,+0x2:10,+0x6:6	exact:286
15	0xd522f-0xd5641	15	0xd522f-0xd5641	intra_block	272	272	18:18,64:15,337:15,114:14,307:11,123:11,28:10,66:10	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	+0x4:170,+0x3:74,+0x5:10,+0x2:9,+0x6:7,+0xd:2	exact:272
103	0x31c035-0x31c33a	103	0x31c035-0x31c33a	intra_block	270	202	18:16,258:12,307:12,340:10,347:9,64:8,28:7,198:7	18:16,258:12,307:12,340:10,347:9,64:8,176:8,28:7	+0x4:133,+0x3:59,+0x5:35,+0x2:30,+0x6:13	exact:270
161	0x3386de-0x3387d9	161	0x3386de-0x3387d9	intra_block	264	66	258:20,340:16,28:16,337:16,66:16,199:12,20:12,174:12	258:20,340:16,28:16,337:16,66:16,158:16,199:12,20:12	+0x4:152,+0x3:76,+0x5:16,+0x2:12,+0x6:8	exact:264
60	0x22fe2d-0x22ffb1			out_of_recovered	256	1	52:256	75:256	+0x5:256	exact:256
61	0x22ffc2-0x230111			out_of_recovered	256	1	123:256	50:256	+0x4:256	exact:256
62	0x230122-0x2303ae			out_of_recovered	256	1	52:256	316:256	+0x5:256	exact:256
44	0x11c690-0x11ca2a	44	0x11c690-0x11ca2a	intra_block	243	243	307:11,64:10,297:8,114:8,337:8,18:8,347:7,28:7	307:11,64:10,297:8,114:8,337:8,18:8,347:7,28:7	+0x4:136,+0x3:53,+0x5:25,+0x2:21,+0x6:8	exact:243
131	0x33170b-0x331945	131	0x33170b-0x331945	intra_block	233	148	196:22,258:22,199:20,171:18,239:18,172:6,189:5,66:5	196:22,258:22,199:20,239:18,122:18,172:6,189:5,66:5	+0x4:117,+0x3:46,+0x2:31,+0x6:25,+0x5:14	exact:233
158	0x3369fc-0x336d73	158	0x3369fc-0x336d73	intra_block	233	233	258:12,28:11,114:10,185:10,215:9,168:9,64:9,66:8	258:12,28:11,114:10,185:10,215:9,168:9,64:9,66:8	+0x4:151,+0x3:56,+0x2:10,+0x5:10,+0x6:5,+0xa:1	exact:233
13	0xd4cc7-0xd5044	13	0xd4cc7-0xd5044	intra_block	231	231	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	+0x4:149,+0x3:67,+0x6:7,+0x5:4,+0x2:2,+0xd:2	exact:231
82	0x24bb77-0x24bd2a	82	0x24bb77-0x24bd2a	intra_block	230	115	258:14,307:12,347:12,18:12,337:12,20:12,287:10,64:10	258:14,20:14,307:12,347:12,18:12,337:12,287:10,64:10	+0x4:158,+0x3:64,+0x6:4,+0x2:2,+0x5:2	exact:230
136	0x332105-0x332469	136	0x332105-0x332469	intra_block	228	228	297:13,340:10,258:9,66:8,108:7,307:7,160:6,215:6	297:13,340:10,258:9,66:8,108:7,307:7,160:6,215:6	+0x4:107,+0x3:46,+0x5:36,+0x2:29,+0x6:10	exact:228
159	0x336dc8-0x33710f	159	0x336dc8-0x33710f	intra_block	221	221	340:10,199:10,307:9,337:9,258:9,297:9,18:9,114:9	340:10,199:10,307:9,337:9,258:9,297:9,18:9,114:9	+0x4:135,+0x3:58,+0x5:11,+0x2:10,+0x6:6,+0xa:1	exact:221
149	0x334a3d-0x334c7b	149	0x334a3d-0x334c7b	intra_block	219	149	64:20,345:17,185:16,333:16,165:15,18:8,196:7,43:6	64:20,345:17,185:16,333:16,52:15,18:8,196:7,43:6	+0x4:112,+0x3:43,+0x2:28,+0x6:22,+0x5:14	exact:219
55	0x18ba69-0x18bd8c	55	0x18ba69-0x18bd8c	intra_block	212	212	18:11,258:11,189:8,337:8,43:8,347:7,64:7,199:6	18:11,258:11,189:8,337:8,43:8,347:7,64:7,199:6	+0x4:123,+0x3:48,+0x5:19,+0x2:16,+0x6:6	exact:212
156	0x3364d7-0x336806	156	0x3364d7-0x336806	intra_block	212	212	64:10,185:8,340:8,297:8,215:7,28:7,189:7,66:6	64:10,185:8,340:8,297:8,215:7,28:7,189:7,258:6	+0x4:122,+0x3:48,+0x5:18,+0x2:15,+0x6:8,+0xa:1	exact:212
189	0x33e8de-0x33e9e2	189	0x33e8de-0x33e9e2	intra_block	207	69	174:18,258:15,215:12,189:12,199:9,28:9,123:9,340:9	174:18,258:15,215:12,189:12,199:9,28:9,123:9,340:9	+0x4:117,+0x3:60,+0x2:12,+0x5:12,+0x6:6	exact:207
1	0xd0c86-0xd0d43	1	0xd0c86-0xd0d43	intra_block	200	50	114:20,158:20,307:16,66:12,184:12,18:12,64:12,123:12	114:20,158:20,174:16,307:16,184:12,18:12,64:12,123:12	+0x4:128,+0x3:68,+0x6:4	exact:200
47	0x11cf2f-0x11d207	47	0x11cf2f-0x11d207	intra_block	192	192	258:11,66:8,114:7,337:7,172:7,185:7,297:6,347:6	258:11,66:8,114:7,337:7,172:7,185:7,297:6,347:6	+0x4:113,+0x3:45,+0x5:15,+0x2:13,+0x6:6	exact:192
